Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,far_price,near_price,price_variation_indicator,Bid,Ask
9/15/2026 9:28:51 AM,Q,O,46738,262103,178.98,181.41,180.9,1,0,0
9/15/2026 9:28:52 AM,Q,O,46663,262203,178.98,181.41,180.87,1,0,0
9/15/2026 9:28:53 AM,Q,O,46663,262203,178.98,181.39,180.87,1,0,0
9/15/2026 9:28:54 AM,Q,O,46665,262203,178.98,181.39,180.87,1,0,0
9/15/2026 9:28:55 AM,Q,O,46665,262203,178.96,181.39,180.82,1,0,0
9/15/2026 9:28:56 AM,Q,O,46702,262216,178.97,181.39,180.82,1,0,0
9/15/2026 9:28:57 AM,Q,O,46632,262296,178.97,181.37,180.81,1,0,0
9/15/2026 9:28:58 AM,Q,O,46634,262297,178.91,181.37,180.78,1,0,0
9/15/2026 9:28:59 AM,Q,O,47421,261896,178.85,181.33,180.78,1,0,0
9/15/2026 9:29:00 AM,Q,O,46921,262396,178.83,181.29,180.7,1,0,0
9/15/2026 9:29:01 AM,Q,O,46673,262654,178.78,181.23,180.69,1,0,0
9/15/2026 9:29:02 AM,Q,O,46429,262898,178.79,181.23,180.7,1,0,0
9/15/2026 9:29:03 AM,Q,O,46029,263298,178.79,181.23,180.69,1,0,0
9/15/2026 9:29:04 AM,Q,O,49926,259505,178.65,181.23,180.66,1,0,0
9/15/2026 9:29:05 AM,Q,O,47040,262391,178.69,181.15,180.62,1,0,0
9/15/2026 9:29:06 AM,Q,O,49040,260391,178.68,181.15,180.78,1,0,0
9/15/2026 9:29:07 AM,Q,O,49240,260191,178.63,181.15,180.7,1,0,0
9/15/2026 9:29:08 AM,Q,O,49194,260241,178.63,181.13,180.69,1,0,0
9/15/2026 9:29:09 AM,Q,O,49034,260401,178.64,181.12,180.6,1,0,0
9/15/2026 9:29:10 AM,Q,O,48734,260701,178.65,181.09,180.6,1,0,0
9/15/2026 9:29:11 AM,Q,O,48834,260701,178.65,181.09,180.6,1,0,0
9/15/2026 9:29:12 AM,Q,O,50264,259277,178.58,181.07,180.6,1,0,0
9/15/2026 9:29:13 AM,Q,O,49964,259577,178.59,181.05,180.6,1,0,0
9/15/2026 9:29:14 AM,Q,O,52427,259114,178.54,181.05,180.6,1,0,0
9/15/2026 9:29:15 AM,Q,O,45373,266152,178.82,181,180.6,L,0,0
9/15/2026 9:29:16 AM,Q,O,45327,266198,178.82,181,180.6,L,0,0
9/15/2026 9:29:17 AM,Q,O,45327,266198,178.81,181,180.6,L,0,0
9/15/2026 9:29:18 AM,Q,O,48256,263329,178.68,180.97,180.6,1,0,0
9/15/2026 9:29:19 AM,Q,O,41247,269892,178.91,180.78,180.34,L,0,0
9/15/2026 9:29:20 AM,Q,O,40647,270492,178.91,180.73,180.21,L,0,0
9/15/2026 9:29:21 AM,Q,O,40646,270493,178.91,180.73,180.21,L,0,0
9/15/2026 9:29:22 AM,Q,O,40646,270493,178.91,180.73,180.21,L,0,0
9/15/2026 9:29:23 AM,Q,O,40543,270596,178.91,180.73,180.18,L,0,0
9/15/2026 9:29:24 AM,Q,O,40543,270596,178.91,180.73,180.18,L,0,0
9/15/2026 9:29:25 AM,Q,O,40530,270606,178.94,180.73,180.25,L,0,0
9/15/2026 9:29:26 AM,Q,O,27452,283687,178.91,180,179.98,L,0,0
9/15/2026 9:29:27 AM,Q,O,25992,285147,178.91,180,179.9,L,0,0
9/15/2026 9:29:28 AM,Q,O,25997,285147,178.91,180,179.9,L,0,0
9/15/2026 9:29:29 AM,Q,O,25413,286117,178.86,180,179.9,L,0,0
9/15/2026 9:29:30 AM,Q,O,26683,287461,178.91,180,179.9,L,0,0
9/15/2026 9:29:31 AM,Q,O,12351,296793,179.25,179.88,179.8,L,0,0
9/15/2026 9:29:32 AM,Q,O,12106,297038,179.25,179.86,179.8,L,0,0
9/15/2026 9:29:33 AM,Q,O,11905,297249,179.19,179.8,179.8,L,0,0
9/15/2026 9:29:34 AM,Q,O,11496,297648,179.25,179.8,179.77,L,0,0
9/15/2026 9:29:35 AM,Q,O,7921,298721,179.48,179.8,179.8,L,0,0
9/15/2026 9:29:36 AM,Q,O,4421,302221,179.53,179.8,179.8,L,0,0
9/15/2026 9:29:37 AM,Q,O,10302,298642,179.36,179.8,179.8,L,0,0
9/15/2026 9:29:38 AM,Q,O,10277,298667,179.35,179.8,179.8,L,0,0
9/15/2026 9:29:39 AM,Q,O,10191,298753,179.32,179.8,179.8,L,0,0
9/15/2026 9:29:40 AM,Q,O,7090,299552,179.45,179.8,179.8,L,0,0
9/15/2026 9:29:41 AM,Q,O,6542,300100,179.45,179.77,179.68,L,0,0
9/15/2026 9:29:42 AM,Q,O,6254,300388,179.45,179.7,179.68,L,0,0
9/15/2026 9:29:43 AM,Q,O,8598,300346,179.38,179.68,179.68,L,0,0
9/15/2026 9:29:44 AM,Q,O,8122,301022,179.25,179.6,179.58,L,0,0
9/15/2026 9:29:45 AM,Q,O,7960,301184,179.23,179.58,179.55,L,0,0
9/15/2026 9:29:46 AM,Q,O,7163,301781,179.32,179.55,179.55,L,0,0
9/15/2026 9:29:47 AM,Q,O,7306,301838,179.27,179.55,179.55,L,0,0
9/15/2026 9:29:48 AM,Q,O,6377,302567,179.38,179.55,179.55,L,0,0
9/15/2026 9:29:49 AM,Q,O,7379,301775,179.18,179.55,179.55,L,0,0
9/15/2026 9:29:50 AM,Q,O,6701,302443,179.28,179.55,179.51,L,0,0
9/15/2026 9:29:51 AM,Q,O,5469,303474,179.4,179.51,179.51,L,0,0
9/15/2026 9:29:52 AM,Q,O,5369,303574,179.43,179.51,179.51,L,0,0
9/15/2026 9:29:53 AM,Q,O,6566,302588,179.19,179.51,179.51,L,0,0
9/15/2026 9:29:54 AM,Q,O,5811,303333,179.26,179.51,179.51,L,0,0
9/15/2026 9:29:55 AM,Q,O,5381,303763,179.28,179.5,179.49,L,0,0
9/15/2026 9:29:56 AM,Q,O,0,308944,179.32,179.32,179.32,L,0,0
9/15/2026 9:29:57 AM,Q,O,0,309144,179.28,179.28,179.28,L,0,0
9/15/2026 9:29:58 AM,Q,O,0,309154,179.16,179.16,179.16,L,0,0
9/15/2026 9:29:59 AM,Q,O,0,309144,179.25,179.25,179.25,L,0,0
9/15/2026 9:30:00 AM,Q,O,2452,309702,179.125,179.14,179.14,L,0,0
