Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,clearing_price,closing_only_clearing_price,SSR_filling_price,condition_indicator,Bid,Ask
7/1/2026 9:02:39 AM,N,O,56102,12883,302.7,320,0,0,0,0,0
7/1/2026 9:02:43 AM,N,O,55952,12883,302.7,320,0,0,0,0,0
7/1/2026 9:02:44 AM,N,O,55943,12884,302.7,320,0,0,0,0,0
7/1/2026 9:02:46 AM,N,O,55954,12884,302.7,320,0,0,0,0,0
7/1/2026 9:02:49 AM,N,O,55095,13694,302.7,320,0,0,0,0,0
7/1/2026 9:02:54 AM,N,O,55105,13694,302.7,320,0,0,0,0,0
7/1/2026 9:02:56 AM,N,O,55065,13694,302.7,320,0,0,0,0,0
7/1/2026 9:02:58 AM,N,O,54947,13694,302.7,320,0,0,0,0,0
7/1/2026 9:03:01 AM,N,O,54981,13694,302.7,320,0,0,0,0,0
7/1/2026 9:03:03 AM,N,O,55031,13694,302.7,320,0,0,0,0,0
7/1/2026 9:03:05 AM,N,O,55241,13684,302.7,320,0,0,0,0,0
7/1/2026 9:03:06 AM,N,O,55243,13684,302.7,320,0,0,0,0,0
7/1/2026 9:03:12 AM,N,O,55244,13684,302.7,320,0,0,0,0,0
7/1/2026 9:03:13 AM,N,O,55226,13684,302.7,320,0,0,0,0,0
7/1/2026 9:03:17 AM,N,O,55246,13684,302.7,320,0,0,0,0,0
7/1/2026 9:03:19 AM,N,O,55298,13684,302.7,320,0,0,0,0,0
7/1/2026 9:03:24 AM,N,O,55308,13684,302.7,320,0,0,0,0,0
7/1/2026 9:03:25 AM,N,O,55242,13684,302.7,320,0,0,0,0,0
7/1/2026 9:03:27 AM,N,O,55218,13684,302.7,320,0,0,0,0,0
7/1/2026 9:03:28 AM,N,O,55318,13684,302.7,320,0,0,0,0,0
7/1/2026 9:03:31 AM,N,O,55317,13684,302.7,320,0,0,0,0,0
7/1/2026 9:03:36 AM,N,O,55247,13655,302.7,320,0,0,0,0,0
7/1/2026 9:03:37 AM,N,O,52247,13655,302.7,320,0,0,0,0,0
7/1/2026 9:03:38 AM,N,O,52248,13655,302.7,320,0,0,0,0,0
7/1/2026 9:03:40 AM,N,O,52298,13655,302.7,320,0,0,0,0,0
7/1/2026 9:03:41 AM,N,O,52398,13655,302.7,320,0,0,0,0,0
7/1/2026 9:03:42 AM,N,O,52490,13655,302.7,320,0,0,0,0,0
7/1/2026 9:03:44 AM,N,O,52489,13655,302.7,320,0,0,0,0,0
7/1/2026 9:03:45 AM,N,O,52515,13655,302.7,320,0,0,0,0,0
7/1/2026 9:03:49 AM,N,O,52490,13680,302.7,320,0,0,0,0,0
7/1/2026 9:03:50 AM,N,O,52515,13680,302.7,320,0,0,0,0,0
7/1/2026 9:03:51 AM,N,O,52535,13680,302.7,320,0,0,0,0,0
7/1/2026 9:03:52 AM,N,O,52525,13680,302.7,320,0,0,0,0,0
