Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,far_price,near_price,price_variation_indicator,Bid,Ask
7/30/2026 9:28:08 AM,Q,O,400926,2282780,435.64,445.59,445.59,2,0,0
7/30/2026 9:28:09 AM,Q,O,367133,2306819,436.49,445.59,445.59,2,0,0
7/30/2026 9:28:10 AM,Q,O,371431,2306173,436.2,445.59,445.59,2,0,0
7/30/2026 9:28:11 AM,Q,O,372258,2305346,436.06,445.59,445.59,2,0,0
7/30/2026 9:28:12 AM,Q,O,369953,2307651,436.29,445.59,445.59,2,0,0
7/30/2026 9:28:13 AM,Q,O,401909,2281797,435.37,445.59,445.59,2,0,0
7/30/2026 9:28:14 AM,Q,O,396703,2287051,435.31,445.59,445.59,2,0,0
7/30/2026 9:28:15 AM,Q,O,380953,2302753,435.62,445.59,445.59,2,0,0
7/30/2026 9:28:16 AM,Q,O,381554,2302152,435.49,445.59,445.59,2,0,0
7/30/2026 9:28:17 AM,Q,O,379516,2304190,435.51,445.59,445.59,2,0,0
7/30/2026 9:28:18 AM,Q,O,466457,2217942,434.99,445.59,445.59,2,0,0
7/30/2026 9:28:19 AM,Q,O,380884,2302822,435.47,445.59,445.59,2,0,0
7/30/2026 9:28:20 AM,Q,O,380040,2303666,435.4,445.59,445.59,2,0,0
7/30/2026 9:28:21 AM,Q,O,374547,2309108,435.96,445.59,445.5,2,0,0
7/30/2026 9:28:22 AM,Q,O,376781,2306925,435.61,445.59,445.38,2,0,0
7/30/2026 9:28:23 AM,Q,O,375388,2308268,435.67,445.59,445,2,0,0
7/30/2026 9:28:24 AM,Q,O,378791,2304915,435.44,445.59,445,2,0,0
7/30/2026 9:28:25 AM,Q,O,375785,2307921,435.64,445.59,445,2,0,0
7/30/2026 9:28:26 AM,Q,O,345366,2332238,436.27,445.59,445,1,0,0
7/30/2026 9:28:27 AM,Q,O,346162,2331442,436.1,445.59,445,2,0,0
7/30/2026 9:28:28 AM,Q,O,345634,2332021,436.01,445.59,445,2,0,0
7/30/2026 9:28:29 AM,Q,O,345349,2332306,436.02,445.59,445,2,0,0
7/30/2026 9:28:30 AM,Q,O,344148,2333456,436.05,445.59,445,2,0,0
7/30/2026 9:28:31 AM,Q,O,339791,2337813,436.33,445.59,445,1,0,0
7/30/2026 9:28:32 AM,Q,O,340002,2337602,436.09,445.59,444.39,1,0,0
7/30/2026 9:28:33 AM,Q,O,345651,2338004,435.98,445.53,443.96,1,0,0
7/30/2026 9:28:34 AM,Q,O,328019,2355687,435.55,445,442.67,1,0,0
7/30/2026 9:28:35 AM,Q,O,334984,2348770,435.23,445,442.38,1,0,0
7/30/2026 9:28:36 AM,Q,O,326421,2357285,435.59,445,442.2,1,0,0
7/30/2026 9:28:37 AM,Q,O,322602,2361104,435.54,444,441.86,1,0,0
7/30/2026 9:28:38 AM,Q,O,319607,2364099,435.38,444,441.31,1,0,0
7/30/2026 9:28:39 AM,Q,O,315753,2367953,435.38,444,441.31,1,0,0
7/30/2026 9:28:40 AM,Q,O,328905,2354849,435.29,444,441.31,1,0,0
7/30/2026 9:28:41 AM,Q,O,416722,2267844,434.87,444,441.07,1,0,0
7/30/2026 9:28:42 AM,Q,O,331218,2353181,435,444,441,1,0,0
7/30/2026 9:28:43 AM,Q,O,413190,2271376,434.8,443.45,441,1,0,0
7/30/2026 9:28:44 AM,Q,O,410742,2273704,434.89,443,441,1,0,0
7/30/2026 9:28:45 AM,Q,O,410894,2273672,434.79,443,441,1,0,0
7/30/2026 9:28:46 AM,Q,O,410026,2274420,434.9,443,441,1,0,0
7/30/2026 9:28:47 AM,Q,O,409859,2274587,434.9,443,441,1,0,0
7/30/2026 9:28:48 AM,Q,O,409015,2275431,434.89,443,441,1,0,0
7/30/2026 9:28:49 AM,Q,O,320488,2363266,435.27,443,440.94,1,0,0
7/30/2026 9:28:50 AM,Q,O,319779,2363975,435.29,443,440.94,1,0,0
7/30/2026 9:28:51 AM,Q,O,318325,2365429,435.29,442.82,440.85,1,0,0
7/30/2026 9:28:52 AM,Q,O,318286,2365468,435.29,442.82,440.85,1,0,0
7/30/2026 9:28:53 AM,Q,O,320811,2362943,435.19,442.82,440.85,1,0,0
7/30/2026 9:28:54 AM,Q,O,321478,2362276,435.05,442.82,440.61,1,0,0
7/30/2026 9:28:55 AM,Q,O,319457,2364297,435.15,442.46,440.61,1,0,0
7/30/2026 9:28:56 AM,Q,O,314570,2369184,435.14,442,440.61,1,0,0
7/30/2026 9:28:57 AM,Q,O,312086,2371668,435.19,442,440.61,1,0,0
7/30/2026 9:28:58 AM,Q,O,311984,2371770,435.19,442,440.61,1,0,0
7/30/2026 9:28:59 AM,Q,O,310974,2372780,435.19,441.86,440.61,1,0,0
7/30/2026 9:29:00 AM,Q,O,308323,2375431,435.19,441.31,440.42,1,0,0
7/30/2026 9:29:01 AM,Q,O,308834,2374920,435.09,441.31,440.21,1,0,0
7/30/2026 9:29:02 AM,Q,O,306702,2377052,435.19,441.31,440,1,0,0
7/30/2026 9:29:03 AM,Q,O,303465,2380289,435.29,441.31,440,1,0,0
7/30/2026 9:29:04 AM,Q,O,303413,2380341,435.28,441.31,440,1,0,0
7/30/2026 9:29:05 AM,Q,O,304167,2379587,435.21,441.31,440,1,0,0
7/30/2026 9:29:06 AM,Q,O,303351,2380403,435.29,441.31,440,1,0,0
7/30/2026 9:29:07 AM,Q,O,303946,2379808,435.24,441.31,440,1,0,0
7/30/2026 9:29:08 AM,Q,O,303074,2380680,435.24,441.27,440,1,0,0
7/30/2026 9:29:09 AM,Q,O,302352,2381402,435.29,441.15,440,1,0,0
7/30/2026 9:29:10 AM,Q,O,289111,2394595,435.39,441.11,440,1,0,0
7/30/2026 9:29:11 AM,Q,O,287098,2396608,435.45,441,440,1,0,0
7/30/2026 9:29:12 AM,Q,O,283879,2399827,435.45,441,440,1,0,0
7/30/2026 9:29:13 AM,Q,O,280035,2403671,435.56,441,440,1,0,0
7/30/2026 9:29:14 AM,Q,O,278039,2405667,435.61,441,440,L,0,0
7/30/2026 9:29:15 AM,Q,O,233633,2450022,436,440.61,440,L,0,0
7/30/2026 9:29:16 AM,Q,O,252012,2431643,435.98,440.61,440,L,0,0
7/30/2026 9:29:17 AM,Q,O,250106,2433549,435.98,440.4,440,L,0,0
7/30/2026 9:29:18 AM,Q,O,249883,2433772,435.99,440.4,440,L,0,0
7/30/2026 9:29:19 AM,Q,O,249637,2434018,435.99,440.18,440,L,0,0
7/30/2026 9:29:20 AM,Q,O,249380,2434275,435.99,440.1,440,L,0,0
7/30/2026 9:29:21 AM,Q,O,249564,2434091,435.91,440.1,440,L,0,0
7/30/2026 9:29:22 AM,Q,O,242527,2441128,435.99,440,440,L,0,0
7/30/2026 9:29:23 AM,Q,O,207978,2465974,436.46,440,440,L,0,0
7/30/2026 9:29:24 AM,Q,O,206239,2467713,436.69,440,440,L,0,0
7/30/2026 9:29:25 AM,Q,O,202634,2471318,436.66,440,440,L,0,0
7/30/2026 9:29:26 AM,Q,O,202220,2471679,436.8,440,440,L,0,0
7/30/2026 9:29:27 AM,Q,O,201722,2472177,436.9,440,440,L,0,0
7/30/2026 9:29:28 AM,Q,O,199657,2474242,436.88,440,440,L,0,0
7/30/2026 9:29:29 AM,Q,O,170609,2503177,437.98,440,440,L,0,0
7/30/2026 9:29:30 AM,Q,O,158820,2514966,437.68,440,440,L,0,0
7/30/2026 9:29:31 AM,Q,O,99072,2574594,438.68,440,440,L,0,0
7/30/2026 9:29:32 AM,Q,O,76429,2597174,439.11,440,440,L,0,0
