Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,far_price,near_price,price_variation_indicator,Bid,Ask
8/3/2026 3:55:49 PM,Q,C,761482,8791364,303.15,309.43,308,1,0,0
8/3/2026 3:55:50 PM,Q,C,761804,8791364,303.14,309.43,308,1,0,0
8/3/2026 3:55:51 PM,Q,C,768474,8791364,303.12,309.43,308,1,0,0
8/3/2026 3:55:52 PM,Q,C,773324,8787807,303.085,309.43,308,1,0,0
8/3/2026 3:55:53 PM,Q,C,773324,8787807,303.085,309.43,308,1,0,0
8/3/2026 3:55:54 PM,Q,C,777374,8784250,303.065,309.43,308,1,0,0
8/3/2026 3:55:55 PM,Q,C,779700,8784250,303.04,309.43,308,1,0,0
8/3/2026 3:55:56 PM,Q,C,784146,8779804,303.035,309.43,308,1,0,0
8/3/2026 3:55:57 PM,Q,C,784146,8779804,303.035,309.43,308,1,0,0
8/3/2026 3:55:58 PM,Q,C,784146,8779804,303.035,309.43,308,1,0,0
8/3/2026 3:55:59 PM,Q,C,784146,8779804,303.035,309.43,308,1,0,0
8/3/2026 3:56:00 PM,Q,C,785350,8779804,303.025,309.43,307.51,1,0,0
8/3/2026 3:56:01 PM,Q,C,785302,8779852,303.025,309.43,307.51,1,0,0
8/3/2026 3:56:02 PM,Q,C,785302,8779852,303.025,309.43,307.51,1,0,0
8/3/2026 3:56:03 PM,Q,C,785760,8779852,303.015,309.43,307.51,1,0,0
8/3/2026 3:56:04 PM,Q,C,831010,8770630,302.935,309.43,307.51,1,0,0
8/3/2026 3:56:05 PM,Q,C,833087,8770630,302.905,309.43,307.51,1,0,0
8/3/2026 3:56:06 PM,Q,C,833087,8770630,302.905,309.43,307.51,1,0,0
8/3/2026 3:56:07 PM,Q,C,833087,8770630,302.905,309.43,307.56,1,0,0
8/3/2026 3:56:08 PM,Q,C,833348,8770630,302.895,309.43,307.58,1,0,0
8/3/2026 3:56:09 PM,Q,C,833348,8770630,302.9,309.43,307.51,1,0,0
8/3/2026 3:56:10 PM,Q,C,838047,8766184,302.885,309.43,307.56,1,0,0
8/3/2026 3:56:11 PM,Q,C,837993,8766238,302.885,309.43,307.56,1,0,0
8/3/2026 3:56:12 PM,Q,C,846203,8761791,302.825,309.43,307.56,1,0,0
8/3/2026 3:56:13 PM,Q,C,846203,8761791,302.825,309.43,307.56,1,0,0
8/3/2026 3:56:14 PM,Q,C,853844,8761791,302.805,309.43,307.51,1,0,0
8/3/2026 3:56:15 PM,Q,C,853477,8762158,302.805,309.43,307.61,1,0,0
8/3/2026 3:56:16 PM,Q,C,2258023,7357809,302.795,309.43,307.56,1,0,0
8/3/2026 3:56:17 PM,Q,C,853721,8762111,302.795,309.43,307.82,1,0,0
8/3/2026 3:56:18 PM,Q,C,853721,8762111,302.795,309.43,307.84,1,0,0
8/3/2026 3:56:19 PM,Q,C,868483,8752899,302.695,309.43,307.85,1,0,0
8/3/2026 3:56:20 PM,Q,C,873147,8749362,302.685,309.43,307.81,1,0,0
8/3/2026 3:56:21 PM,Q,C,836186,8769244,302.86,309.43,308,1,0,0
8/3/2026 3:56:22 PM,Q,C,835455,8769360,302.88,309.43,308,1,0,0
8/3/2026 3:56:23 PM,Q,C,835517,8769298,302.875,309.43,308,1,0,0
8/3/2026 3:56:24 PM,Q,C,835455,8769360,302.88,309.43,308,1,0,0
8/3/2026 3:56:25 PM,Q,C,823388,8778252,302.94,309.43,308.06,1,0,0
8/3/2026 3:56:26 PM,Q,C,823001,8778252,302.95,309.43,308,1,0,0
8/3/2026 3:56:27 PM,Q,C,823001,8778252,302.95,309.43,308,1,0,0
8/3/2026 3:56:28 PM,Q,C,823001,8778252,302.95,309.43,308,1,0,0
8/3/2026 3:56:29 PM,Q,C,823388,8778252,302.94,309.43,308.01,1,0,0
8/3/2026 3:56:30 PM,Q,C,823388,8778252,302.94,309.43,308,1,0,0
8/3/2026 3:56:31 PM,Q,C,823001,8778252,302.95,309.43,308.01,1,0,0
8/3/2026 3:56:32 PM,Q,C,822949,8778304,302.95,309.43,308.01,1,0,0
8/3/2026 3:56:33 PM,Q,C,822949,8778304,302.95,309.43,308.02,1,0,0
8/3/2026 3:56:34 PM,Q,C,822949,8778304,302.95,309.43,308.01,1,0,0
8/3/2026 3:56:35 PM,Q,C,830120,8773858,302.895,309.43,308,1,0,0
8/3/2026 3:56:36 PM,Q,C,828980,8773858,302.93,309.43,308,1,0,0
8/3/2026 3:56:37 PM,Q,C,823859,8779858,302.91,309.43,308,1,0,0
8/3/2026 3:56:38 PM,Q,C,814120,8789858,302.9,309.43,308,1,0,0
8/3/2026 3:56:39 PM,Q,C,814373,8789858,302.89,309.43,308,1,0,0
8/3/2026 3:56:40 PM,Q,C,819623,8785350,302.87,309.43,307.99,1,0,0
8/3/2026 3:56:41 PM,Q,C,819403,8785412,302.88,309.43,307.99,1,0,0
8/3/2026 3:56:42 PM,Q,C,819403,8785412,302.88,309.43,307.99,1,0,0
8/3/2026 3:56:43 PM,Q,C,819351,8785464,302.88,309.43,307.98,1,0,0
8/3/2026 3:56:44 PM,Q,C,819351,8785464,302.88,309.43,307.95,1,0,0
8/3/2026 3:56:45 PM,Q,C,819351,8785464,302.88,309.43,307.95,1,0,0
8/3/2026 3:56:46 PM,Q,C,819351,8785464,302.88,309.43,307.95,1,0,0
8/3/2026 3:56:47 PM,Q,C,822173,8785402,302.84,309.43,307.91,1,0,0
8/3/2026 3:56:48 PM,Q,C,822173,8785402,302.84,309.43,307.93,1,0,0
8/3/2026 3:56:49 PM,Q,C,822173,8785402,302.84,309.43,307.9,1,0,0
8/3/2026 3:56:50 PM,Q,C,822173,8785402,302.84,309.43,307.9,1,0,0
8/3/2026 3:56:51 PM,Q,C,826539,8781455,302.83,309.43,307.89,1,0,0
8/3/2026 3:56:52 PM,Q,C,826539,8781455,302.83,309.43,307.89,1,0,0
8/3/2026 3:56:53 PM,Q,C,821673,8785902,302.84,309.43,307.98,1,0,0
8/3/2026 3:56:54 PM,Q,C,821521,8786054,302.84,309.43,307.98,1,0,0
8/3/2026 3:56:55 PM,Q,C,813155,8790562,302.91,309.43,308,1,0,0
8/3/2026 3:56:56 PM,Q,C,812276,8790562,302.93,309.43,308,1,0,0
8/3/2026 3:56:57 PM,Q,C,806632,8795008,302.94,309.43,308,1,0,0
8/3/2026 3:56:58 PM,Q,C,805630,8795008,302.96,309.43,307.99,1,0,0
8/3/2026 3:56:59 PM,Q,C,742282,8811344,303.13,309.43,308,1,0,0
8/3/2026 3:57:00 PM,Q,C,762166,8801784,303.035,309.43,308,1,0,0
8/3/2026 3:57:01 PM,Q,C,797723,8801454,302.995,309.43,307.89,1,0,0
8/3/2026 3:57:02 PM,Q,C,763370,8801784,303.03,309.43,307.91,1,0,0
8/3/2026 3:57:03 PM,Q,C,764215,8801784,303.01,309.43,307.89,1,0,0
8/3/2026 3:57:04 PM,Q,C,763215,8802784,303.01,309.43,307.89,1,0,0
8/3/2026 3:57:05 PM,Q,C,763169,8802830,303.01,309.43,307.89,1,0,0
8/3/2026 3:57:06 PM,Q,C,749850,8810833,303.1,309.43,307.91,1,0,0
8/3/2026 3:57:07 PM,Q,C,749850,8810833,303.1,309.43,307.91,1,0,0
8/3/2026 3:57:08 PM,Q,C,754861,8807276,303.06,309.43,307.89,1,0,0
8/3/2026 3:57:09 PM,Q,C,754861,8807276,303.06,309.43,307.9,1,0,0
8/3/2026 3:57:10 PM,Q,C,755932,8807276,303.05,309.43,307.89,1,0,0
8/3/2026 3:57:11 PM,Q,C,755932,8807276,303.05,309.43,307.87,1,0,0
8/3/2026 3:57:12 PM,Q,C,754861,8807276,303.06,309.43,307.79,1,0,0
8/3/2026 3:57:13 PM,Q,C,754861,8807276,303.06,309.43,307.87,1,0,0
8/3/2026 3:57:14 PM,Q,C,754861,8807276,303.06,309.43,307.76,1,0,0
8/3/2026 3:57:15 PM,Q,C,754861,8807276,303.06,309.43,307.83,1,0,0
8/3/2026 3:57:16 PM,Q,C,739191,8814435,303.13,309.43,307.91,1,0,0
8/3/2026 3:57:17 PM,Q,C,739191,8814435,303.13,309.43,307.89,1,0,0
8/3/2026 3:57:18 PM,Q,C,749347,8810878,303.11,309.43,307.89,1,0,0
8/3/2026 3:57:19 PM,Q,C,750253,8810878,303.09,309.43,307.84,1,0,0
8/3/2026 3:57:20 PM,Q,C,754303,8807321,303.07,309.43,307.77,1,0,0
8/3/2026 3:57:21 PM,Q,C,763124,8802875,303.01,309.43,307.7,1,0,0
8/3/2026 3:57:22 PM,Q,C,763124,8802875,303.01,309.43,307.7,1,0,0
8/3/2026 3:57:23 PM,Q,C,763124,8802875,303.01,309.43,307.68,1,0,0
8/3/2026 3:57:24 PM,Q,C,762737,8802875,303.02,309.43,307.65,1,0,0
8/3/2026 3:57:25 PM,Q,C,756629,8807321,303.04,309.43,307.7,1,0,0
8/3/2026 3:57:26 PM,Q,C,756584,8807366,303.04,309.43,307.7,1,0,0
8/3/2026 3:57:27 PM,Q,C,755842,8807366,303.05,309.43,307.63,1,0,0
8/3/2026 3:57:28 PM,Q,C,755842,8807366,303.05,309.43,307.6,1,0,0
8/3/2026 3:57:29 PM,Q,C,755842,8807366,303.05,309.43,307.62,1,0,0
8/3/2026 3:57:30 PM,Q,C,755842,8807366,303.05,309.43,307.76,1,0,0
8/3/2026 3:57:31 PM,Q,C,754258,8807366,303.07,309.43,307.51,1,0,0
8/3/2026 3:57:32 PM,Q,C,754258,8807366,303.07,309.43,307.51,1,0,0
8/3/2026 3:57:33 PM,Q,C,747224,8814203,303.08,309.43,307.56,1,0,0
8/3/2026 3:57:34 PM,Q,C,754771,8807366,303.06,309.43,307.65,1,0,0
8/3/2026 3:57:35 PM,Q,C,754771,8807366,303.06,309.43,307.56,1,0,0
8/3/2026 3:57:36 PM,Q,C,754726,8807411,303.06,309.43,307.51,1,0,0
8/3/2026 3:57:37 PM,Q,C,805845,8798189,302.94,309.43,307.51,1,0,0
8/3/2026 3:57:38 PM,Q,C,809462,8798189,302.94,309.43,307.51,1,0,0
8/3/2026 3:57:39 PM,Q,C,831713,8793743,302.915,309.43,307.51,1,0,0
8/3/2026 3:57:40 PM,Q,C,858262,8789255,302.84,309.43,307.51,1,0,0
8/3/2026 3:57:41 PM,Q,C,877393,8789255,302.86,309.1,307.03,1,0,0
8/3/2026 3:57:42 PM,Q,C,893604,8789255,302.86,309.08,307,1,0,0
8/3/2026 3:57:43 PM,Q,C,897820,8789255,302.86,309.05,306.68,1,0,0
8/3/2026 3:57:44 PM,Q,C,924839,8784908,302.8,309.03,306.37,1,0,0
8/3/2026 3:57:45 PM,Q,C,932040,8779775,302.76,309,306.3,1,0,0
